순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독
1,명량,2014-07-30,"135,762,515,310","17,616,371","1,587","188,730",한국,한국,(주)씨제이이엔엠,액션,128분,8.88,김한민
2,극한직업,2019-01-23,"139,657,209,516","16,266,491","2,003","292,819",한국,한국,(주)씨제이이엔엠,코미디,111분,9.2,이병헌
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,139분,8.73,김용화
4,국제시장,2014-12-17,"110,960,515,230","14,266,489","1,044","212,728",한국,한국,(주)씨제이이엔엠,드라마,126분,9.16,윤제균
5,어벤져스: 엔드게임,2019-04-24,"122,490,648,020","13,977,409","2,835","246,411",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,181분,9.5,안소니 루소
6,겨울왕국 2,2019-11-21,"115,033,955,041","13,768,797","2,648","301,536",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,103분,8.94,크리스 벅
7,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",한국,한국,(주)씨제이이엔엠,액션,123분,9.24,류승완
8,아바타,2009-12-17,"125,297,849,000","13,337,833",910,"164,437",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",액션,166분,9.41,제임스 카메론
9,서울의 봄,2023-11-22,"127,929,877,212","13,128,419","2,463","374,545",한국,한국,플러스엠 엔터테인먼트,드라마,141분,9.48,김성수
10,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스,범죄,135분,7.66,최동훈
11,7번방의 선물,2013-01-23,"91,437,620,170","12,812,186",866,"167,014",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,127분,8.82,이환경
12,알라딘,2019-05-23,"109,083,614,867","12,800,870","1,409","284,954",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,모험,128분,9.41,가이 리치
13,암살,2015-07-22,"98,472,466,681","12,707,330","1,519","175,332",한국,한국,(주)쇼박스,액션,139분,9.1,최동훈
14,범죄도시2,2022-05-18,"131,298,796,478","12,693,415","2,521","355,768",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",범죄,106분,8.98,이상용
15,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464",한국,한국,(주)씨제이이엔엠,드라마,131분,9.26,추창민
16,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,141분,8.63,김용화
17,택시운전사,2017-08-02,"95,872,794,149","12,189,872","1,906","184,229",한국,한국,(주)쇼박스,드라마,137분,9.28,장훈
18,파묘,2024-02-22,"115,157,490,414","11,914,784","2,367","364,955",한국,한국,(주)쇼박스,미스터리,134분,8.22,장재현
19,부산행,2016-07-20,"93,188,170,548","11,567,816","1,788","151,535",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,118분,8.6,연상호
20,범죄도시4,2024-04-24,"110,050,000,734","11,502,779","2,980","375,434",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",액션,109분,7.52,허명행
21,변호인,2013-12-18,"82,876,713,788","11,375,399",925,"152,290",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,127분,9.3,양우석
22,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332",한국,한국,씨제이엔터테인먼트,모험,120분,7.43,윤제균
23,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,149분,9.09,안소니 루소
24,괴물,2006-07-27,"66,618,683,300","10,900,281",647,"112,933",한국,한국,(주)쇼박스,모험,119분,8.63,봉준호
25,아바타: 물의 길,2022-12-14,"137,647,728,899","10,805,069","2,809","283,036",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,192분,8.83,제임스 카메론
26,범죄도시3,2023-05-31,"104,687,737,771","10,682,813","2,582","311,915",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",범죄,105분,7.65,이상용
27,왕의 남자,2005-12-29,"66,013,095,400","10,513,059",313,"111,183",한국,한국,(주)시네마서비스,드라마,119분,9.04,이준익
28,어벤져스: 에이지 오브 울트론,2015-04-23,"88,645,598,646","10,504,487","1,843","194,385",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,141분,8.59,조스 웨던
